RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,Alpha-3 code
71,Afghanistan,F,Education,Higher,... if she argues with him,42005,37.7,AFG
71,Afghanistan,F,Education,No education,... if she argues with him,42005,60.2,AFG
71,Afghanistan,F,Education,Primary,... if she argues with him,42005,56.9,AFG
71,Afghanistan,F,Education,Secondary,... if she argues with him,42005,55.4,AFG
141,Afghanistan,F,Education,Higher,... if she goes out without telling him,42005,41.1,AFG
141,Afghanistan,F,Education,No education,... if she goes out without telling him,42005,68.4,AFG
141,Afghanistan,F,Education,Primary,... if she goes out without telling him,42005,64.1,AFG
141,Afghanistan,F,Education,Secondary,... if she goes out without telling him,42005,58.2,AFG
211,Afghanistan,F,Education,Higher,... if she neglects the children,42005,33.4,AFG
211,Afghanistan,F,Education,No education,... if she neglects the children,42005,48.9,AFG
211,Afghanistan,F,Education,Primary,... if she neglects the children,42005,50.6,AFG
211,Afghanistan,F,Education,Secondary,... if she neglects the children,42005,44.4,AFG
281,Afghanistan,F,Education,Higher,... if she refuses to have sex with him,42005,10.8,AFG
281,Afghanistan,F,Education,No education,... if she refuses to have sex with him,42005,34.2,AFG
281,Afghanistan,F,Education,Primary,... if she refuses to have sex with him,42005,35.9,AFG
281,Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,42005,26.6,AFG
351,Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,42005,80.2,AFG
351,Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,42005,86.9,AFG
351,Afghanistan,F,Employment,Unemployed,... for at least one specific reason,42005,80.1,AFG
71,Afghanistan,F,Employment,Employed for cash,... if she argues with him,42005,57.8,AFG
71,Afghanistan,F,Employment,Employed for kind,... if she argues with him,42005,53.5,AFG
71,Afghanistan,F,Employment,Unemployed,... if she argues with him,42005,59.8,AFG
141,Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,42005,66.7,AFG
141,Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,42005,68,AFG
141,Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,42005,67,AFG
211,Afghanistan,F,Employment,Employed for cash,... if she neglects the children,42005,48.1,AFG
211,Afghanistan,F,Employment,Employed for kind,... if she neglects the children,42005,49.3,AFG
211,Afghanistan,F,Employment,Unemployed,... if she neglects the children,42005,48.6,AFG
281,Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,42005,32.5,AFG
281,Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,42005,31.4,AFG
281,Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,42005,33.7,AFG
351,Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,42005,80.6,AFG
351,Afghanistan,F,Marital status,Never married,... for at least one specific reason,42005,,AFG
351,Afghanistan,F,Marital status,Widowed, divorced, separated,... for at least one specific reason,42005,67.6,AFG
71,Afghanistan,F,Marital status,Married or living together,... if she argues with him,42005,59.5,AFG
71,Afghanistan,F,Marital status,Never married,... if she argues with him,42005,,AFG
71,Afghanistan,F,Marital status,Widowed, divorced, separated,... if she argues with him,42005,51.5,AFG
141,Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,42005,67.1,AFG
141,Afghanistan,F,Marital status,Never married,... if she goes out without telling him,42005,,AFG
141,Afghanistan,F,Marital status,Widowed, divorced, separated,... if she goes out without telling him,42005,58.5,AFG
211,Afghanistan,F,Marital status,Married or living together,... if she neglects the children,42005,48.6,AFG
211,Afghanistan,F,Marital status,Never married,... if she neglects the children,42005,,AFG
211,Afghanistan,F,Marital status,Widowed, divorced, separated,... if she neglects the children,42005,43.1,AFG
281,Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,42005,33.5,AFG
281,Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,42005,,AFG
281,Afghanistan,F,Marital status,Widowed, divorced, separated,... if she refuses to have sex with him,42005,29.1,AFG
351,Afghanistan,F,Residence,Rural,... for at least one specific reason,42005,82.1,AFG
351,Afghanistan,F,Residence,Urban,... for at least one specific reason,42005,74,AFG
71,Afghanistan,F,Residence,Rural,... if she argues with him,42005,60.6,AFG
71,Afghanistan,F,Residence,Urban,... if she argues with him,42005,54.7,AFG
141,Afghanistan,F,Residence,Rural,... if she goes out without telling him,42005,69.3,AFG
141,Afghanistan,F,Residence,Urban,... if she goes out without telling him,42005,58.9,AFG
211,Afghanistan,F,Residence,Rural,... if she neglects the children,42005,48.9,AFG
211,Afghanistan,F,Residence,Urban,... if she neglects the children,42005,46.7,AFG
281,Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,42005,35.2,AFG
281,Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,42005,27.4,AFG
351,Afghanistan,M,Age,15-24,... for at least one specific reason,42005,74.1,AFG
351,Afghanistan,M,Age,25-34,... for at least one specific reason,42005,70.5,AFG
351,Afghanistan,M,Age,35-49,... for at least one specific reason,42005,73.6,AFG
71,Afghanistan,M,Age,15-24,... if she argues with him,42005,44.4,AFG
71,Afghanistan,M,Age,25-34,... if she argues with him,42005,44.6,AFG
71,Afghanistan,M,Age,35-49,... if she argues with him,42005,46.6,AFG
141,Afghanistan,M,Age,15-24,... if she goes out without telling him,42005,63.3,AFG
141,Afghanistan,M,Age,25-34,... if she goes out without telling him,42005,60.4,AFG
141,Afghanistan,M,Age,35-49,... if she goes out without telling him,42005,61,AFG
211,Afghanistan,M,Age,15-24,... if she neglects the children,42005,24.8,AFG
211,Afghanistan,M,Age,25-34,... if she neglects the children,42005,27,AFG
211,Afghanistan,M,Age,35-49,... if she neglects the children,42005,25.7,AFG
281,Afghanistan,M,Age,15-24,... if she refuses to have sex with him,42005,21.3,AFG
281,Afghanistan,M,Age,25-34,... if she refuses to have sex with him,42005,18.5,AFG
281,Afghanistan,M,Age,35-49,... if she refuses to have sex with him,42005,20.1,AFG
351,Afghanistan,M,Education,Higher,... for at least one specific reason,42005,55.5,AFG
351,Afghanistan,M,Education,No education,... for at least one specific reason,42005,77.4,AFG
351,Afghanistan,M,Education,Primary,... for at least one specific reason,42005,68.1,AFG
351,Afghanistan,M,Education,Secondary,... for at least one specific reason,42005,69.6,AFG
71,Afghanistan,M,Education,Higher,... if she argues with him,42005,31.4,AFG
71,Afghanistan,M,Education,No education,... if she argues with him,42005,50.2,AFG
71,Afghanistan,M,Education,Primary,... if she argues with him,42005,41,AFG
71,Afghanistan,M,Education,Secondary,... if she argues with him,42005,42.8,AFG
141,Afghanistan,M,Education,Higher,... if she goes out without telling him,42005,43.6,AFG
141,Afghanistan,M,Education,No education,... if she goes out without telling him,42005,66,AFG
141,Afghanistan,M,Education,Primary,... if she goes out without telling him,42005,55.9,AFG
141,Afghanistan,M,Education,Secondary,... if she goes out without telling him,42005,59.5,AFG
211,Afghanistan,M,Education,Higher,... if she neglects the children,42005,20.9,AFG
211,Afghanistan,M,Education,No education,... if she neglects the children,42005,29.7,AFG
211,Afghanistan,M,Education,Primary,... if she neglects the children,42005,22.3,AFG
211,Afghanistan,M,Education,Secondary,... if she neglects the children,42005,23,AFG
281,Afghanistan,M,Education,Higher,... if she refuses to have sex with him,42005,11.9,AFG
281,Afghanistan,M,Education,No education,... if she refuses to have sex with him,42005,23.2,AFG
281,Afghanistan,M,Education,Primary,... if she refuses to have sex with him,42005,17.4,AFG
281,Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,42005,15.9,AFG
351,Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,42005,72.6,AFG
351,Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,42005,73.5,AFG
351,Afghanistan,M,Employment,Unemployed,... for at least one specific reason,42005,67.4,AFG
71,Afghanistan,M,Employment,Employed for cash,... if she argues with him,42005,45.5,AFG
71,Afghanistan,M,Employment,Employed for kind,... if she argues with him,42005,47.8,AFG
71,Afghanistan,M,Employment,Unemployed,... if she argues with him,42005,41.1,AFG
141,Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,42005,60.9,AFG
141,Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,42005,65.7,AFG
141,Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,42005,54.8,AFG
211,Afghanistan,M,Employment,Employed for cash,... if she neglects the children,42005,25.6,AFG
211,Afghanistan,M,Employment,Employed for kind,... if she neglects the children,42005,30.6,AFG
211,Afghanistan,M,Employment,Unemployed,... if she neglects the children,42005,31.8,AFG
281,Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,42005,18.9,AFG
281,Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,42005,27.8,AFG
281,Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,42005,17,AFG
351,Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,42005,72.6,AFG
351,Afghanistan,M,Marital status,Never married,... for at least one specific reason,42005,,AFG
351,Afghanistan,M,Marital status,Widowed, divorced, separated,... for at least one specific reason,42005,48.8,AFG
71,Afghanistan,M,Marital status,Married or living together,... if she argues with him,42005,45.5,AFG
71,Afghanistan,M,Marital status,Never married,... if she argues with him,42005,,AFG
71,Afghanistan,M,Marital status,Widowed, divorced, separated,... if she argues with him,42005,35.1,AFG
141,Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,42005,61.3,AFG
141,Afghanistan,M,Marital status,Never married,... if she goes out without telling him,42005,,AFG
141,Afghanistan,M,Marital status,Widowed, divorced, separated,... if she goes out without telling him,42005,36.5,AFG
211,Afghanistan,M,Marital status,Married or living together,... if she neglects the children,42005,26.1,AFG
211,Afghanistan,M,Marital status,Never married,... if she neglects the children,42005,,AFG
211,Afghanistan,M,Marital status,Widowed, divorced, separated,... if she neglects the children,42005,29.3,AFG
281,Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,42005,19.7,AFG
281,Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,42005,,AFG
281,Afghanistan,M,Marital status,Widowed, divorced, separated,... if she refuses to have sex with him,42005,5,AFG
351,Afghanistan,M,Residence,Rural,... for at least one specific reason,42005,76.1,AFG
351,Afghanistan,M,Residence,Urban,... for at least one specific reason,42005,59.9,AFG
71,Afghanistan,M,Residence,Rural,... if she argues with him,42005,47,AFG
71,Afghanistan,M,Residence,Urban,... if she argues with him,42005,40.4,AFG
141,Afghanistan,M,Residence,Rural,... if she goes out without telling him,42005,65.6,AFG
141,Afghanistan,M,Residence,Urban,... if she goes out without telling him,42005,46,AFG
211,Afghanistan,M,Residence,Rural,... if she neglects the children,42005,28.1,AFG
211,Afghanistan,M,Residence,Urban,... if she neglects the children,42005,19.6,AFG
281,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,42005,21.9,AFG
281,Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,42005,12,AFG
2,Albania,F,Education,Higher,... if she burns the food,42736,0.2,ALB
2,Albania,F,Residence,Urban,... if she burns the food,42736,0.4,ALB
2,Albania,F,Age,15-24,... if she burns the food,42736,0.6,ALB
2,Albania,F,Education,Secondary,... if she burns the food,42736,0.6,ALB
2,Albania,F,Employment,Employed for cash,... if she burns the food,42736,0.6,ALB
2,Albania,F,Marital status,Never married,... if she burns the food,42736,0.6,ALB
2,Albania,F,Marital status,Widowed, divorced, separated,... if she burns the food,42736,0.6,ALB
2,Albania,F,Age,25-34,... if she burns the food,42736,0.8,ALB
2,Albania,F,Employment,Unemployed,... if she burns the food,42736,0.8,ALB
2,Albania,F,Marital status,Married or living together,... if she burns the food,42736,0.9,ALB
2,Albania,F,Age,35-49,... if she burns the food,42736,1,ALB
2,Albania,F,Education,Primary,... if she burns the food,42736,1.3,ALB
2,Albania,F,Residence,Rural,... if she burns the food,42736,1.4,ALB
2,Albania,F,Employment,Employed for kind,... if she burns the food,42736,2.4,ALB
2,Albania,F,Education,No education,... if she burns the food,42736,5.8,ALB
2,Albania,M,Education,No education,... if she burns the food,42736,0,ALB
2,Albania,M,Age,25-34,... if she burns the food,42736,0.2,ALB
2,Albania,M,Education,Secondary,... if she burns the food,42736,0.2,ALB
2,Albania,M,Employment,Employed for cash,... if she burns the food,42736,0.3,ALB
2,Albania,M,Age,35-49,... if she burns the food,42736,0.4,ALB
2,Albania,M,Marital status,Never married,... if she burns the food,42736,0.4,ALB
2,Albania,M,Employment,Employed for kind,... if she burns the food,42736,0.5,ALB
2,Albania,M,Residence,Rural,... if she burns the food,42736,0.5,ALB
2,Albania,M,Residence,Urban,... if she burns the food,42736,0.5,ALB
2,Albania,M,Marital status,Married or living together,... if she burns the food,42736,0.6,ALB
2,Albania,M,Education,Higher,... if she burns the food,42736,0.8,ALB
2,Albania,M,Education,Primary,... if she burns the food,42736,0.8,ALB
2,Albania,M,Employment,Unemployed,... if she burns the food,42736,0.8,ALB
2,Albania,M,Age,15-24,... if she burns the food,42736,0.9,ALB
2,Albania,M,Marital status,Widowed, divorced, separated,... if she burns the food,42736,1.6,ALB
352,Albania,F,Age,15-24,... for at least one specific reason,42736,4.7,ALB
352,Albania,F,Age,25-34,... for at least one specific reason,42736,6.9,ALB
352,Albania,F,Age,35-49,... for at least one specific reason,42736,8.2,ALB
72,Albania,F,Age,15-24,... if she argues with him,42736,1,ALB
72,Albania,F,Age,25-34,... if she argues with him,42736,1.7,ALB
72,Albania,F,Age,35-49,... if she argues with him,42736,2.4,ALB
142,Albania,F,Age,15-24,... if she goes out without telling him,42736,2,ALB
142,Albania,F,Age,25-34,... if she goes out without telling him,42736,3.7,ALB
142,Albania,F,Age,35-49,... if she goes out without telling him,42736,4.8,ALB
212,Albania,F,Age,15-24,... if she neglects the children,42736,3.5,ALB
212,Albania,F,Age,25-34,... if she neglects the children,42736,5.4,ALB
212,Albania,F,Age,35-49,... if she neglects the children,42736,6.3,ALB
282,Albania,F,Age,15-24,... if she refuses to have sex with him,42736,0.6,ALB
282,Albania,F,Age,25-34,... if she refuses to have sex with him,42736,1.1,ALB
282,Albania,F,Age,35-49,... if she refuses to have sex with him,42736,1,ALB
352,Albania,F,Education,Higher,... for at least one specific reason,42736,1.4,ALB
352,Albania,F,Education,No education,... for at least one specific reason,42736,26.3,ALB
352,Albania,F,Education,Primary,... for at least one specific reason,42736,11.1,ALB
352,Albania,F,Education,Secondary,... for at least one specific reason,42736,5.5,ALB
72,Albania,F,Education,Higher,... if she argues with him,42736,0.4,ALB
72,Albania,F,Education,No education,... if she argues with him,42736,11.7,ALB
72,Albania,F,Education,Primary,... if she argues with him,42736,3.2,ALB
72,Albania,F,Education,Secondary,... if she argues with him,42736,1.1,ALB
142,Albania,F,Education,Higher,... if she goes out without telling him,42736,0.3,ALB
142,Albania,F,Education,No education,... if she goes out without telling him,42736,14.9,ALB
142,Albania,F,Education,Primary,... if she goes out without telling him,42736,6.9,ALB
142,Albania,F,Education,Secondary,... if she goes out without telling him,42736,2.4,ALB
212,Albania,F,Education,Higher,... if she neglects the children,42736,1.1,ALB
212,Albania,F,Education,No education,... if she neglects the children,42736,21.1,ALB
212,Albania,F,Education,Primary,... if she neglects the children,42736,8.6,ALB
212,Albania,F,Education,Secondary,... if she neglects the children,42736,4.2,ALB
282,Albania,F,Education,Higher,... if she refuses to have sex with him,42736,0.1,ALB
282,Albania,F,Education,No education,... if she refuses to have sex with him,42736,6.3,ALB
282,Albania,F,Education,Primary,... if she refuses to have sex with him,42736,1.5,ALB
282,Albania,F,Education,Secondary,... if she refuses to have sex with him,42736,0.6,ALB
352,Albania,F,Employment,Employed for cash,... for at least one specific reason,42736,4.1,ALB
352,Albania,F,Employment,Employed for kind,... for at least one specific reason,42736,17,ALB
352,Albania,F,Employment,Unemployed,... for at least one specific reason,42736,7.6,ALB
72,Albania,F,Employment,Employed for cash,... if she argues with him,42736,1.2,ALB
72,Albania,F,Employment,Employed for kind,... if she argues with him,42736,6.9,ALB
72,Albania,F,Employment,Unemployed,... if she argues with him,42736,1.7,ALB
142,Albania,F,Employment,Employed for cash,... if she goes out without telling him,42736,1.8,ALB
142,Albania,F,Employment,Employed for kind,... if she goes out without telling him,42736,8.9,ALB
142,Albania,F,Employment,Unemployed,... if she goes out without telling him,42736,4.4,ALB
212,Albania,F,Employment,Employed for cash,... if she neglects the children,42736,3.2,ALB
212,Albania,F,Employment,Employed for kind,... if she neglects the children,42736,13.6,ALB
212,Albania,F,Employment,Unemployed,... if she neglects the children,42736,5.8,ALB
282,Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,42736,0.7,ALB
282,Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,42736,3,ALB
282,Albania,F,Employment,Unemployed,... if she refuses to have sex with him,42736,0.8,ALB
352,Albania,F,Marital status,Married or living together,... for at least one specific reason,42736,7.9,ALB
352,Albania,F,Marital status,Never married,... for at least one specific reason,42736,4.3,ALB
352,Albania,F,Marital status,Widowed, divorced, separated,... for at least one specific reason,42736,7,ALB
72,Albania,F,Marital status,Married or living together,... if she argues with him,42736,2,ALB
72,Albania,F,Marital status,Never married,... if she argues with him,42736,1.1,ALB
72,Albania,F,Marital status,Widowed, divorced, separated,... if she argues with him,42736,3.4,ALB
142,Albania,F,Marital status,Married or living together,... if she goes out without telling him,42736,4.6,ALB
142,Albania,F,Marital status,Never married,... if she goes out without telling him,42736,1.7,ALB
142,Albania,F,Marital status,Widowed, divorced, separated,... if she goes out without telling him,42736,2.3,ALB
212,Albania,F,Marital status,Married or living together,... if she neglects the children,42736,6.1,ALB
212,Albania,F,Marital status,Never married,... if she neglects the children,42736,3.2,ALB
212,Albania,F,Marital status,Widowed, divorced, separated,... if she neglects the children,42736,5.1,ALB
282,Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,42736,1,ALB
282,Albania,F,Marital status,Never married,... if she refuses to have sex with him,42736,0.5,ALB
282,Albania,F,Marital status,Widowed, divorced, separated,... if she refuses to have sex with him,42736,1.1,ALB
352,Albania,F,Residence,Rural,... for at least one specific reason,42736,10.3,ALB
352,Albania,F,Residence,Urban,... for at least one specific reason,42736,4.5,ALB
72,Albania,F,Residence,Rural,... if she argues with him,42736,3.1,ALB
72,Albania,F,Residence,Urban,... if she argues with him,42736,0.9,ALB
142,Albania,F,Residence,Rural,... if she goes out without telling him,42736,5.7,ALB
142,Albania,F,Residence,Urban,... if she goes out without telling him,42736,2.3,ALB
212,Albania,F,Residence,Rural,... if she neglects the children,42736,7.7,ALB
212,Albania,F,Residence,Urban,... if she neglects the children,42736,3.6,ALB
282,Albania,F,Residence,Rural,... if she refuses to have sex with him,42736,1.6,ALB
282,Albania,F,Residence,Urban,... if she refuses to have sex with him,42736,0.5,ALB
352,Albania,M,Age,15-24,... for at least one specific reason,42736,10.9,ALB
352,Albania,M,Age,25-34,... for at least one specific reason,42736,11.3,ALB
352,Albania,M,Age,35-49,... for at least one specific reason,42736,11.8,ALB
72,Albania,M,Age,15-24,... if she argues with him,42736,4.4,ALB
72,Albania,M,Age,25-34,... if she argues with him,42736,3.5,ALB
72,Albania,M,Age,35-49,... if she argues with him,42736,4.2,ALB
142,Albania,M,Age,15-24,... if she goes out without telling him,42736,5.3,ALB
142,Albania,M,Age,25-34,... if she goes out without telling him,42736,6.1,ALB
142,Albania,M,Age,35-49,... if she goes out without telling him,42736,7.8,ALB
212,Albania,M,Age,15-24,... if she neglects the children,42736,7.1,ALB
212,Albania,M,Age,25-34,... if she neglects the children,42736,8.6,ALB
212,Albania,M,Age,35-49,... if she neglects the children,42736,8.3,ALB
282,Albania,M,Age,15-24,... if she refuses to have sex with him,42736,3,ALB
282,Albania,M,Age,25-34,... if she refuses to have sex with him,42736,2.5,ALB
282,Albania,M,Age,35-49,... if she refuses to have sex with him,42736,1.1,ALB
352,Albania,M,Education,Higher,... for at least one specific reason,42736,5.4,ALB
352,Albania,M,Education,No education,... for at least one specific reason,42736,26.6,ALB
352,Albania,M,Education,Primary,... for at least one specific reason,42736,14.6,ALB
352,Albania,M,Education,Secondary,... for at least one specific reason,42736,11.2,ALB
72,Albania,M,Education,Higher,... if she argues with him,42736,2.2,ALB
72,Albania,M,Education,No education,... if she argues with him,42736,15.3,ALB
72,Albania,M,Education,Primary,... if she argues with him,42736,5.9,ALB
72,Albania,M,Education,Secondary,... if she argues with him,42736,3.2,ALB
142,Albania,M,Education,Higher,... if she goes out without telling him,42736,2.7,ALB
142,Albania,M,Education,No education,... if she goes out without telling him,42736,25.4,ALB
142,Albania,M,Education,Primary,... if she goes out without telling him,42736,9,ALB
142,Albania,M,Education,Secondary,... if she goes out without telling him,42736,5.9,ALB
212,Albania,M,Education,Higher,... if she neglects the children,42736,3.8,ALB
212,Albania,M,Education,No education,... if she neglects the children,42736,22.3,ALB
212,Albania,M,Education,Primary,... if she neglects the children,42736,9.6,ALB
212,Albania,M,Education,Secondary,... if she neglects the children,42736,8.4,ALB
282,Albania,M,Education,Higher,... if she refuses to have sex with him,42736,0.7,ALB
282,Albania,M,Education,No education,... if she refuses to have sex with him,42736,13.8,ALB
282,Albania,M,Education,Primary,... if she refuses to have sex with him,42736,3.1,ALB
282,Albania,M,Education,Secondary,... if she refuses to have sex with him,42736,1.7,ALB
352,Albania,M,Employment,Employed for cash,... for at least one specific reason,42736,10.8,ALB
352,Albania,M,Employment,Employed for kind,... for at least one specific reason,42736,9.6,ALB
352,Albania,M,Employment,Unemployed,... for at least one specific reason,42736,12.4,ALB
72,Albania,M,Employment,Employed for cash,... if she argues with him,42736,3.4,ALB
72,Albania,M,Employment,Employed for kind,... if she argues with him,42736,3.6,ALB
72,Albania,M,Employment,Unemployed,... if she argues with him,42736,5,ALB
142,Albania,M,Employment,Employed for cash,... if she goes out without telling him,42736,7.2,ALB
142,Albania,M,Employment,Employed for kind,... if she goes out without telling him,42736,6.2,ALB
142,Albania,M,Employment,Unemployed,... if she goes out without telling him,42736,5.6,ALB
212,Albania,M,Employment,Employed for cash,... if she neglects the children,42736,7.5,ALB
212,Albania,M,Employment,Employed for kind,... if she neglects the children,42736,5.5,ALB
212,Albania,M,Employment,Unemployed,... if she neglects the children,42736,9.1,ALB
282,Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,42736,1.3,ALB
282,Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,42736,0.9,ALB
282,Albania,M,Employment,Unemployed,... if she refuses to have sex with him,42736,3.5,ALB
352,Albania,M,Marital status,Married or living together,... for at least one specific reason,42736,11.7,ALB
352,Albania,M,Marital status,Never married,... for at least one specific reason,42736,10.6,ALB
352,Albania,M,Marital status,Widowed, divorced, separated,... for at least one specific reason,42736,29.7,ALB
72,Albania,M,Marital status,Married or living together,... if she argues with him,42736,4.1,ALB
72,Albania,M,Marital status,Never married,... if she argues with him,42736,3.8,ALB
72,Albania,M,Marital status,Widowed, divorced, separated,... if she argues with him,42736,13.1,ALB
142,Albania,M,Marital status,Married or living together,... if she goes out without telling him,42736,7.7,ALB
142,Albania,M,Marital status,Never married,... if she goes out without telling him,42736,5.1,ALB
142,Albania,M,Marital status,Widowed, divorced, separated,... if she goes out without telling him,42736,16.7,ALB
212,Albania,M,Marital status,Married or living together,... if she neglects the children,42736,8.5,ALB
212,Albania,M,Marital status,Never married,... if she neglects the children,42736,7.2,ALB
212,Albania,M,Marital status,Widowed, divorced, separated,... if she neglects the children,42736,24.5,ALB
282,Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,42736,1.3,ALB
282,Albania,M,Marital status,Never married,... if she refuses to have sex with him,42736,2.8,ALB
282,Albania,M,Marital status,Widowed, divorced, separated,... if she refuses to have sex with him,42736,4.6,ALB
352,Albania,M,Residence,Rural,... for at least one specific reason,42736,12.9,ALB
352,Albania,M,Residence,Urban,... for at least one specific reason,42736,10.2,ALB
72,Albania,M,Residence,Rural,... if she argues with him,42736,3.2,ALB
72,Albania,M,Residence,Urban,... if she argues with him,42736,4.7,ALB
142,Albania,M,Residence,Rural,... if she goes out without telling him,42736,7.4,ALB
142,Albania,M,Residence,Urban,... if she goes out without telling him,42736,5.9,ALB
